CvrNumber,TabulatorNum,BatchId,RecordId,BallotType,PrecinctPortion,President of the United States,Representative in Congress,City Council Member,Mayor,Measure A — Infrastructure Bond,County Assessor,County Treasurer,District Attorney,"Superior Court Judge, Seat 3",Water District Board Member,County Executive,State Senator,Measure C — Local Road Tax,School Board Director,Measure B — Advisory Vote on Library Hours
921,1,2-1,1840,J1-P2-T1,Region-2,Carolina Jefferson (1)|Carolina Jefferson (1)|Alexandria Washington (2)|Alexandria Washington (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
922,1,2-1,1842,J1-P2-T1,Region-2,Carolina Jefferson (1)|Carolina Jefferson (1)|Alexandria Washington (2)|Alexandria Washington (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
923,1,2-1,1844,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
924,1,2-1,1846,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
925,1,2-1,1848,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
926,1,2-1,1850,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
927,1,2-1,1852,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
928,1,2-1,1854,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
929,1,2-1,1856,J1-P2-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
930,1,2-1,1858,J1-P2-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
931,1,2-1,1860,J1-P2-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
932,1,2-1,1862,J1-P2-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
933,1,2-1,1864,J1-P2-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
934,1,2-1,1866,J1-P2-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
935,1,2-1,1868,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
936,1,2-1,1869,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
937,1,2-1,1872,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
938,1,2-1,1874,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
939,1,2-1,1876,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
940,1,2-1,1878,J1-P2-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
941,1,2-1,1880,J1-P2-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
942,1,2-1,1882,J1-P2-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
943,1,2-1,1884,J1-P2-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
944,1,2-1,1886,J1-P2-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
945,1,2-1,1888,J1-P2-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
946,1,2-1,1890,J1-P2-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
947,1,2-1,1892,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
948,1,2-1,1893,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
949,1,2-1,1896,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
950,1,2-1,1898,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
951,1,2-1,1900,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
952,1,2-1,1902,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
953,1,2-1,1904,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
954,1,2-1,1906,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
955,1,2-1,1908,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
956,1,2-1,1910,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
957,1,2-1,1912,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
958,1,2-1,1914,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
959,1,2-1,1916,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
960,1,2-1,1918,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
961,1,2-1,1920,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
962,1,2-1,1922,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
963,1,2-1,1924,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
964,1,2-1,1926,J1-P2-T1,Region-2,,,,,,,,,,,,,,,
965,1,2-1,1928,J1-P2-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
966,1,2-1,1930,J1-P2-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
967,1,2-1,1932,J1-P2-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
968,1,2-1,1934,J1-P2-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
969,1,2-1,1936,J1-P2-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
970,1,2-1,1938,J1-P2-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
971,1,2-1,1940,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
972,1,2-1,1942,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
973,1,2-1,1944,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
974,1,2-1,1946,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
975,1,2-1,1948,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
976,1,2-1,1950,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
977,1,2-1,1952,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
978,1,2-1,1954,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
979,1,2-1,1956,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
980,1,2-1,1958,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
981,1,2-1,1960,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
982,1,2-1,1962,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
983,1,2-1,1964,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
984,1,2-1,1966,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
985,1,2-1,1968,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
986,1,2-1,1970,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
987,1,2-1,1972,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
988,1,2-1,1974,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
989,1,2-1,1976,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
990,1,2-1,1978,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
991,1,2-1,1980,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
992,1,2-1,1982,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
993,1,2-1,1984,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
994,1,2-1,1986,J1-P2-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
995,1,2-1,1988,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
996,1,2-1,1990,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
997,1,2-1,1992,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
998,1,2-1,1994,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
999,1,2-1,1996,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
1000,1,2-1,1998,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
1001,1,2-1,2000,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1002,1,2-1,2002,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1003,1,2-1,2004,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1004,1,2-1,2006,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1005,1,2-1,2008,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1006,1,2-1,2010,J1-P2-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1007,1,2-1,2012,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,,,
1008,1,2-1,2014,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,,,
1009,1,2-1,2016,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,,,
1010,1,2-1,2018,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,,,
1011,1,2-1,2020,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,,,
1012,1,2-1,2022,J1-P2-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,,,
1013,1,2-1,2024,J1-P1-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3),Dorothy Johnson|Dorothy Johnson,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1014,1,2-1,2026,J1-P1-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3),Dorothy Johnson|Dorothy Johnson,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1015,1,2-1,2028,J1-P1-T1,Region-2,,,,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1016,1,2-1,2030,J1-P1-T1,Region-2,,,,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1017,1,2-1,2032,J1-P1-T1,Region-2,,,,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1018,1,2-1,2034,J1-P1-T1,Region-2,,,,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1019,1,2-1,2036,J1-P1-T1,Region-2,OVERVOTE,OVERVOTE,OVERVOTE,Bill de Blasio|Eric Adams|Bill de Blasio|Eric Adams,OVERVOTE,,,,,,,,,,
1020,1,2-1,2038,J1-P1-T1,Region-2,OVERVOTE,OVERVOTE,OVERVOTE,Bill de Blasio|Eric Adams|Bill de Blasio|Eric Adams,OVERVOTE,,,,,,,,,,
1021,1,2-1,2040,J1-P1-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1022,1,2-1,2042,J1-P1-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1023,1,2-1,2044,J1-P1-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1024,1,2-1,2046,J1-P1-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1025,1,2-1,2048,J1-P1-T1,Region-2,Carolina Jefferson (1)|Carolina Jefferson (1)|Alexandria Washington (2)|Alexandria Washington (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1026,1,2-1,2050,J1-P1-T1,Region-2,Carolina Jefferson (1)|Carolina Jefferson (1)|Alexandria Washington (2)|Alexandria Washington (2),Chuck Edwards|Chuck Edwards,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Bill de Blasio,Yes|Yes,,,,,,,,,,
1027,1,2-1,2052,J1-P1-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
1028,1,2-1,2054,J1-P1-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Chuck Edwards|Chuck Edwards,Anna Park|Carmen Lopez|Eva Patel|Anna Park|Carmen Lopez|Eva Patel,Nina Turner|Nina Turner,Yes|Yes,,,,,,,,,,
1029,1,2-1,2056,J1-P1-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
1030,1,2-1,2058,J1-P1-T1,Region-2,Alexandria Washington (1)|Alexandria Washington (1)|Benjamin Adams (2)|Benjamin Adams (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Alice Smith|Alice Smith,Anna Park|Brian Foster|Carmen Lopez|Anna Park|Brian Foster|Carmen Lopez,Bill de Blasio|Zohran Mamdani|Bill de Blasio|Zohran Mamdani,Yes|Yes,Linda Park|Linda Park,Sarah Hoffman|Sarah Hoffman,Rachel Kim|Rachel Kim,Yes|Yes,Chen Wei|Barbara Scott|Ahmed Hassan|Chen Wei|Barbara Scott|Ahmed Hassan,,,,,
1031,1,2-1,2060,J1-P1-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
1032,1,2-1,2062,J1-P1-T1,Region-2,Benjamin Adams (1)|Benjamin Adams (1)|Alexandria Washington (2)|Alexandria Washington (2)|Carolina Jefferson (3)|Carolina Jefferson (3)|Douglas Madison (4)|Douglas Madison (4),Bill Jones|Bill Jones,David Kim|Eva Patel|Frank Nguyen|David Kim|Eva Patel|Frank Nguyen,Eric Adams|Eric Adams,No|No,,,,,,,,,,
1033,1,2-1,2064,J1-P1-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
1034,1,2-1,2066,J1-P1-T1,Region-2,Write-In (1)|Write-In (1),WRITE-IN|WRITE-IN,Anna Park|Brian Foster|WRITE-IN|Anna Park|Brian Foster|WRITE-IN,Eric Adams|Eric Adams,Yes|Yes,,,,,,,,,,
1035,1,2-1,2068,J1-P1-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1036,1,2-1,2070,J1-P1-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
1037,1,2-1,2072,J1-P1-T1,Region-2,,,,,,,,,,,,,,,
1038,1,2-1,2074,J1-P1-T1,Region-2,,,,,,,,,,,,,,,
1039,1,2-1,2076,J1-P1-T1,Region-2,,,,,,,,,,,,,,,
1040,1,2-1,2078,J1-P1-T1,Region-2,,,,,,,,,,,,,,,
1041,1,2-1,2080,J1-P1-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
1042,1,2-1,2082,J1-P1-T1,Region-2,,,,,,,,,,,,OVERVOTE,,,
1043,1,2-1,2084,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1044,1,2-1,2086,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1045,1,2-1,2088,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1046,1,2-1,2090,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1047,1,2-1,2092,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1048,1,2-1,2094,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1049,1,2-1,2096,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1050,1,2-1,2098,J1-P1-T1,Region-2,,,,,,,,,,,,Sandra Okafor|Sandra Okafor,,,
1051,1,2-1,2100,J1-P1-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
1052,1,2-1,2102,J1-P1-T1,Region-2,,,,,,,,,,,,Patricia Chen|Patricia Chen,Yes|Yes,,
1053,1,2-1,2104,J1-P1-T1,Region-2,,,,,,,,,,,,Robert Williams|Robert Williams,,,
